Word,Count,Positive TFIDF,Neutral TFIDF,Negative TFIDF
riynaldu,1,0,0.001201298560885756,0
dihang,5,0,0.0015933148496712372,0.002185021979330427
ngadtu,8,0.003938109476427983,0.0016562766743137588,0.0025706644612502067
kasamtang,2,0.003864075965870934,0.001546535049435415,0
trubank,1,0.0033655766941117797,0,0
krimin,1,0,0.0012752778084321116,0
muhatag,1,0,0.001365696888766546,0
villigasusmina,1,0.003745385663071135,0,0
kasaysay,1,0,0.0010908228845498652,0
nting,1,0,0.0011738221693348796,0
mung,1,0,0,0.002163080802140228
unta,8,0.004694908085469523,0.001312031701924981,0.0027133808006749413
musukul,3,0.0036563679359712864,0,0.002830136017104068
tuud,1,0,0,0.0018957160911160613
prisirvativis,1,0,0.0011709481003539179,0
npurmasy,2,0.003587131926004737,0.001365696888766546,0
palusut,2,0.0033264787120130227,0,0.002033400174144675
subay,1,0,0.001546535049435415,0
guthung,1,0,0.0011709481003539179,0
lainlain,1,0,0.0014380321530340938,0
awhag,3,0.0037118930688890732,0,0.0023406894402621245
glakip,2,0.003745385663071135,0.0011590247051449815,0
francis,2,0,0.0013983376207440186,0
timilimi,1,0,0.001365696888766546,0
buhis,1,0.0035317431180314977,0,0
sivilla,1,0,0.001365696888766546,0
ngutana,1,0,0.0011241625778250209,0
ghangyu,1,0,0.0012451381149873003,0
bakwi,1,0,0.001221026360231451,0
unsa,5,0,0.0015643658537188442,0.002223902726768456
irini,1,0,0.0010815226362868946,0
limpyu,2,0,0,0.003095167677726227
buntag,4,0,0.001640165575215977,0.0021504627517132274
tizins,1,0,0.0012708516561383489,0
laing,4,0,0.0020714596450927703,0
aprubah,1,0,0,0.0020812894104227193
mbala,1,0,0.0010718348776796339,0
kakuli,1,0,0.0013140288428611549,0
sapa,1,0,0,0.002033400174144675
balhin,1,0,0.0011316710337833037,0
alarma,1,0,0,0.0021124174140034475
gtudlu,1,0,0.001201298560885756,0
pangka,1,0,0.001221026360231451,0
karni,1,0.003745385663071135,0,0
panganduy,1,0,0,0.002454825453391463
kaugaling,2,0.003864075965870934,0.001221026360231451,0
gsigi,1,0,0,0.0023406894402621245
xxiii,1,0,0.001221026360231451,0
hangyu,1,0.0035317431180314977,0,0
sinadu,8,0.0034404333798423816,0.0019939956615310536,0.0028139376977453657
hukum,1,0,0.001546535049435415,0
kapataas,1,0,0.0011709481003539179,0
basul,1,0,0.0011848587280976772,0
bala,1,0,0.0011428983742358886,0
kanasur,1,0,0.0011316710337833037,0
prisintar,2,0.0035317431180314977,0,0.002091259872339262
kinataliwad,1,0,0,0.0021980194238504515
punta,1,0,0.0011316710337833037,0
gdalu,1,0,0.0012752778084321116,0
datu,1,0,0.0011138921921915602,0
ntika,1,0,0.0011486910959639031,0
sanu,2,0,0.0017378060613800457,0
lyunis,1,0.0033264787120130227,0,0
kausa,1,0,0,0.0021980194238504515
kapaspas,1,0.0033264787120130227,0,0
duminggu,1,0,0.0011590247051449815,0
kaniya,2,0,0,0.0026132919311404835
lagi,1,0,0.001546535049435415,0
muhukum,1,0,0,0.002911369505908816
gpapili,1,0,0.0012752778084321116,0
abillira,1,0,0.0010815226362868946,0
kahuut,1,0.0035317431180314977,0,0
biatu,2,0,0.0015643658537188442,0
sturya,1,0,0.001546535049435415,0
pahibawu,2,0,0.0015021052663532846,0
siptiyimbri,4,0,0.0016055472384584907,0
dimukrasya,1,0,0.0011590247051449815,0
carcinugins,1,0,0.0011709481003539179,0
radyu,1,0.003587131926004737,0,0
kabisi,1,0,0.0011848587280976772,0
curnbiif,1,0,0.001546535049435415,0
tanang,5,0.003889938551295367,0.001124579341208054,0.0020812894104227193
hadluk,1,0,0.0014709749726705048,0
rcus,3,0,0.0012473077365463309,0.0020553494074387786
pamaagi,1,0.003448659906071639,0,0
parat,1,0,0.001128541742159927,0
ghinamhinam,1,0,0,0.001925649392519076
kalisud,2,0,0.0010908228845498652,0.0021124174140034475
anuchi,1,0,0.0010815226362868946,0
biata,1,0,0.0010908228845498652,0
dyrf,1,0,0.001546535049435415,0
ukiy,2,0.008018236563863884,0.0014380321530340938,0
kuntrah,1,0,0,0.002911369505908816
kasakit,1,0,0.0012451381149873003,0
kunsigrah,3,0,0.001958682907034055,0
pasaylu,3,0.004119082602459111,0,0.003482049571555508
parukya,1,0,0.0011125234638301295,0
klasi,1,0,0,0.0023406894402621245
katuyu,1,0,0,0.0026260294730854703
