Word,Count
nganung,3
dinhi,3
kunsidirasy,1
tahas,1
saktu,1
mutugpa,1
himu,3
kaubang,1
bati,1
lalis,1
kahanay,1
pananglit,2
daghang,1
mpliyadu,1
bagu,1
himung,1
disisy,1
patum,1
dili,2
trabahua,1
balaud,1
musukul,2
saksi,2
asang,1
silay,1
basi,1
pangulu,1
mupahibalu,1
dagh,1
pamahayag,1
pasabut,1
muhukum,1
padayung,1
tilibisy,1
rispunsabilidad,1
dutirti,1
mukuyug,1
gpasabut,1
runda,1
publiku,1
dunay,2
lang,2
patay,1
sturya,1
hinungd,2
akung,1
kampanya,1
gunang,1
upirasy,3
spinu,1
laing,1
labut,3
lagi,1
katuyu,1
tagdumala,1
pamatuud,1
higay,1
hukum,1
kuyug,1
npurmasy,2
duna,1
drugas,1
dugay,1
hisgut,1
sulti,1
gagad,1
sugbu,1
siguridad,1
prisidinti,2
kadawat,1
radyu,1
nukad,1
pamantala,1
ngadtu,1
pakuyug,4
yang,2
sayr,2
kung,6
labaw,1
durugista,1
kalibut,1
glambigit,1
tamd,1
hatud,1
trampas,1
parihas,1
sitwasy,2
trabahu,1
tubag,1
suuka,1
ligal,1
assign,2
batuk,1
gbuut,1
jusi,1
csupt,1
pulis,1
raiding,1
subay,1
adtu,1
kapulis,1
dipindi,2
buhat,1
pahibawu,2
angay,2
pusas,1
pangpangrunda,1
