Word,Count,Positive TFIDF,Neutral TFIDF,Negative TFIDF
riynaldu,1,1,1.0012012985608858,1
dihang,5,1,1.0015933148496712,1.0021850219793305
ngadtu,8,1.003938109476428,1.0016562766743138,1.0025706644612502
kasamtang,2,1.003864075965871,1.0015465350494355,1
trubank,1,1.0033655766941119,1,1
krimin,1,1,1.0012752778084322,1
muhatag,1,1,1.0013656968887665,1
villigasusmina,1,1.0037453856630711,1,1
kasaysay,1,1,1.0010908228845499,1
nting,1,1,1.001173822169335,1
mung,1,1,1,1.0021630808021402
unta,8,1.0046949080854695,1.001312031701925,1.002713380800675
musukul,3,1.0036563679359713,1,1.0028301360171041
tuud,1,1,1,1.0018957160911162
prisirvativis,1,1,1.001170948100354,1
npurmasy,2,1.0035871319260048,1.0013656968887665,1
palusut,2,1.003326478712013,1,1.0020334001741447
subay,1,1,1.0015465350494355,1
guthung,1,1,1.001170948100354,1
lainlain,1,1,1.001438032153034,1
awhag,3,1.003711893068889,1,1.0023406894402622
glakip,2,1.0037453856630711,1.001159024705145,1
francis,2,1,1.001398337620744,1
timilimi,1,1,1.0013656968887665,1
buhis,1,1.0035317431180315,1,1
sivilla,1,1,1.0013656968887665,1
ngutana,1,1,1.001124162577825,1
ghangyu,1,1,1.0012451381149874,1
bakwi,1,1,1.0012210263602315,1
unsa,5,1,1.0015643658537188,1.0022239027267685
irini,1,1,1.0010815226362868,1
limpyu,2,1,1,1.0030951676777262
buntag,4,1,1.001640165575216,1.0021504627517133
tizins,1,1,1.0012708516561384,1
laing,4,1,1.0020714596450928,1
aprubah,1,1,1,1.0020812894104227
mbala,1,1,1.0010718348776797,1
kakuli,1,1,1.0013140288428612,1
sapa,1,1,1,1.0020334001741447
balhin,1,1,1.0011316710337832,1
alarma,1,1,1,1.0021124174140035
gtudlu,1,1,1.0012012985608858,1
pangka,1,1,1.0012210263602315,1
karni,1,1.0037453856630711,1,1
panganduy,1,1,1,1.0024548254533914
kaugaling,2,1.003864075965871,1.0012210263602315,1
gsigi,1,1,1,1.0023406894402622
xxiii,1,1,1.0012210263602315,1
hangyu,1,1.0035317431180315,1,1
sinadu,8,1.0034404333798423,1.0019939956615311,1.0028139376977454
hukum,1,1,1.0015465350494355,1
kapataas,1,1,1.001170948100354,1
basul,1,1,1.0011848587280976,1
bala,1,1,1.0011428983742359,1
kanasur,1,1,1.0011316710337832,1
prisintar,2,1.0035317431180315,1,1.0020912598723393
kinataliwad,1,1,1,1.0021980194238505
punta,1,1,1.0011316710337832,1
gdalu,1,1,1.0012752778084322,1
datu,1,1,1.0011138921921916,1
ntika,1,1,1.001148691095964,1
sanu,2,1,1.00173780606138,1
lyunis,1,1.003326478712013,1,1
kausa,1,1,1,1.0021980194238505
kapaspas,1,1.003326478712013,1,1
duminggu,1,1,1.001159024705145,1
kaniya,2,1,1,1.0026132919311406
lagi,1,1,1.0015465350494355,1
muhukum,1,1,1,1.0029113695059089
gpapili,1,1,1.0012752778084322,1
abillira,1,1,1.0010815226362868,1
kahuut,1,1.0035317431180315,1,1
biatu,2,1,1.0015643658537188,1
sturya,1,1,1.0015465350494355,1
pahibawu,2,1,1.0015021052663533,1
siptiyimbri,4,1,1.0016055472384584,1
dimukrasya,1,1,1.001159024705145,1
carcinugins,1,1,1.001170948100354,1
radyu,1,1.0035871319260048,1,1
kabisi,1,1,1.0011848587280976,1
curnbiif,1,1,1.0015465350494355,1
tanang,5,1.0038899385512954,1.001124579341208,1.0020812894104227
hadluk,1,1,1.0014709749726705,1
rcus,3,1,1.0012473077365462,1.0020553494074387
pamaagi,1,1.0034486599060717,1,1
parat,1,1,1.0011285417421598,1
ghinamhinam,1,1,1,1.001925649392519
kalisud,2,1,1.0010908228845499,1.0021124174140035
anuchi,1,1,1.0010815226362868,1
biata,1,1,1.0010908228845499,1
dyrf,1,1,1.0015465350494355,1
ukiy,2,1.008018236563864,1.001438032153034,1
kuntrah,1,1,1,1.0029113695059089
kasakit,1,1,1.0012451381149874,1
kunsigrah,3,1,1.0019586829070342,1
pasaylu,3,1.004119082602459,1,1.0034820495715555
parukya,1,1,1.00111252346383,1
klasi,1,1,1,1.0023406894402622
katuyu,1,1,1,1.0026260294730855
hawan,1,1,1,1.0020812894104227
siguru,1,1,1.001438032153034,1
sama,5,1.0036563679359713,1.003805746998879,1.0023406894402622
runda,1,1,1.0011908023295255,1
gunang,1,1,1.001438032153034,1
buhing,1,1,1.001438032153034,1
katawan,1,1,1.001148691095964,1
kilusang,1,1,1.001159024705145,1
kayu,1,1,1,1.0021504627517133
gkabangi,1,1,1.0011848587280976,1
taliu,1,1,1.0010718348776797,1
kahibawu,1,1,1.001148691095964,1
syudad,2,1,1.0015465350494355,1.0022591637165983
sunug,5,1,1.001438032153034,1.003125510236807
numanu,1,1,1.001438032153034,1
sila,22,1.004248784511512,1.0032702394708086,1.0036420423958459
kapamilya,1,1,1.0013140288428612,1
kuliksiy,1,1.003326478712013,1,1
sunud,6,1,1.0022569233498946,1.0020334001741447
kalang,1,1.003864075965871,1,1
kasulbad,1,1,1.0012451381149874,1
bisaya,1,1,1.0010815226362868,1
pahimangnu,1,1,1,1.0021980194238505
glutu,1,1,1.0013140288428612,1
pangtakda,1,1,1.0011316710337832,1
ghatag,1,1.0037453856630711,1,1
spinidu,3,1.0042794920256701,1.002089049531442,1.0022591637165983
nuudlis,1,1.0035871319260048,1,1
bahu,1,1,1.0011428983742359,1
sikritu,1,1,1,1.0020334001741447
tumung,1,1,1,1.0024548254533914
jusi,2,1.0036563679359713,1.0012210263602315,1
apil,4,1,1.001320146755814,1.002998376660424
tiwas,1,1.0035317431180315,1,1
juvii,1,1,1,1.0022591637165983
ritis,1,1,1.0010718348776797,1
lawum,1,1,1,1.0020334001741447
duguk,1,1,1.001438032153034,1
wriathlaying,1,1,1.0012210263602315,1
kapahunung,1,1,1,1.0024548254533914
kaupirati,1,1.0036563679359713,1,1
sabutahi,1,1,1.0011316710337832,1
musunud,2,1,1.0015021052663533,1
kaataki,1,1,1,1.0021124174140035
ntigu,1,1.0034486599060717,1,1
adlawa,1,1.0033448058911218,1,1
anug,2,1,1.0012752778084322,1.0026260294730855
nggagawa,1,1,1.001159024705145,1
dunay,7,1.0034263291360266,1.0019915960825014,1.0021124174140035
akusah,1,1,1,1.0021980194238505
sakup,5,1.0035317431180315,1.0013656968887665,1.0027471197155995
prutista,4,1,1.0013473693948125,1.0023000726958597
aslan,1,1,1,1.0022591637165983
litar,2,1,1.001380723280901,1
bagu,1,1,1.0013153235042567,1
kapuy,1,1,1.001438032153034,1
pahunung,1,1.0037453856630711,1,1
lich,6,1.0039946635783128,1,1.0029223358357977
karung,7,1.0033448058911218,1.0018308539507494,1
lacs,9,1.004330425302461,1.0018632834604357,1.0021504627517133
paduul,1,1.0034167048245486,1,1
kurapsy,5,1,1.0013153235042567,1.002899949794574
pusil,1,1.0036563679359713,1,1
cabadiang,1,1,1.0013656968887665,1
tung,1,1,1.0011306152834283,1
sulidu,1,1,1,1.0019602360631643
panuburnu,1,1,1,1.0024548254533914
cayitanu,1,1,1.0015465350494355,1
kining,9,1.005248796165202,1.0018786309876437,1.0023219761388864
kandidatura,1,1,1.0011848587280976,1
rudy,2,1,1,1.0024239836021247
pukim,2,1.0033655766941119,1.0012752778084322,1
padayung,1,1,1.0012012985608858,1
kanaug,1,1,1.001159024705145,1
saktu,1,1.0036563679359713,1,1
abril,1,1,1.0012210263602315,1
gtanaw,1,1,1.0012012985608858,1
ngaging,2,1,1,1.0024205416325063
abrih,1,1.0036563679359713,1,1
kabig,1,1,1.0013153235042567,1
kalimang,1,1,1.00111252346383,1
kaung,2,1,1.0015228587954752,1
aktuwal,1,1,1,1.0019602360631643
sidinti,1,1,1.0010817595153323,1
amah,1,1,1,1.001950224132188
kawat,1,1,1.0013140288428612,1
kanatu,1,1.003864075965871,1,1
partidu,1,1,1.001159024705145,1
hirsisyu,1,1,1.0012210263602315,1
tuslub,1,1,1.0012012985608858,1
tibuuk,4,1,1.00173780606138,1.0024721711767832
gpapatigay,1,1,1.0012451381149874,1
palagput,2,1.0035317431180315,1.001124579341208,1
balibar,1,1,1.0012451381149874,1
adbiyintu,1,1,1.00111252346383,1
gbuut,1,1,1.001438032153034,1
gubiyirnu,1,1.003326478712013,1,1
kahinay,1,1,1.0011848587280976,1
dinr,1,1,1,1.0034820495715555
tulu,1,1,1,1.0020553494074387
lingkud,1,1,1,1.0021980194238505
ritiradung,1,1,1.0013140288428612,1
kaprisintar,1,1,1,1.001925649392519
papil,1,1,1.0013775840916221,1
bahin,1,1.003864075965871,1,1
buhat,8,1.0046949080854695,1.0015089813772478,1.0024895634513606
daang,2,1.0037453856630711,1.0012210263602315,1
trapiku,2,1.0033655766941119,1,1.0023406894402622
pirsunal,1,1.0035871319260048,1,1
ngriklamu,1,1,1,1.0020334001741447
dangat,1,1,1.0013656968887665,1
saksi,2,1,1,1.0028301360171041
pakyas,2,1,1.001170948100354,1.0020812894104227
kinsa,7,1.00402511578702,1.0018777133945795,1.0028301360171041
balaud,6,1.0043000557284902,1.001380723280901,1.0025223843371731
risulta,1,1,1.001148691095964,1
andam,2,1,1.0012455946210188,1.0021314161845547
andal,1,1,1.0010815226362868,1
ugdaw,1,1,1,1.0021504627517133
sumbag,1,1,1.0012752778084322,1
lagru,1,1,1.0010787332722675,1
mutuu,2,1,1,1.002573135618925
castillu,1,1,1.0010815226362868,1
kaub,1,1,1.0012374977700496,1
piru,5,1,1.0015228587954752,1.0023621619767258
camumut,2,1,1.0021077309798183,1
tirisi,1,1,1.0013140288428612,1
guzm,1,1,1.0010718348776797,1
dumingu,1,1,1.00111252346383,1
larribirt,1,1,1.0010718348776797,1
mutum,2,1,1,1.0029746987410797
kadugang,1,1.003326478712013,1,1
